PPM,DM,vmag,sptype,ra (hrs),dec (deg),pmra (mas/yr),pmdec (mas/yr),ura (mas),udec (mas),upmra (mas/yr),upmdec (mas/yr)
8816,CD-4115163,5.83,M4III,23.16938889,-40.59166667,35,-46,0,0,0,0
5566,BD+32 2531,6.12,A2V,14.93297222,32.30027778,-43,4,0,0,0,0
7000,BD+43 3027,6.2,F0V,18.61266667,43.22194444,23,-6,0,0,0,0
5814,BD+52 1886,6.74,F4IIIp,15.60113889,52.06972222,-22,82,0,0,0,0
1461,CD-30 1901,3.82,G8IIIa,4.5925,-30.56222222,-45,-12,0,0,0,0
949,BD+12  452,6.12,K0IIIp,3.189416667,13.04777778,-13,15,0,0,0,0
4496,CP-61 2514,4.94,G3Ib,11.68155556,-62.09,-20,8,0,0,0,0
13,CD-34   17,5.68,K1III,0.134305556,-33.52944444,-37,0,0,0,0,0
8898,CP-5710268,5.59,K0III,23.42205556,-56.84916667,80,-24,0,0,0,0
6297,CD-4811360,6,G8-K0III+G,17.00752778,-48.64777778,-3,-79,0,0,0,0
8352,BD-10 5785,6.59,B9V,21.89333333,-10.31166667,12,-4,0,0,0,0
8273,BD+19 4754,5.85,F2V,21.65030556,20.26527778,113,-3,0,0,0,0
3601,CP-60 1283,5.79,G8II,9.012694444,-60.96388889,-6,0,0,0,0,0
8315,BD-09 5833,6,M3III,21.77119444,-9.275833333,21,9,0,0,0,0
538,CD-50  514,5.94,A1Vp,1.848472222,-50.20611111,-42,-3,0,0,0,0
4269,BD+78  367,6.2,G9III,10.99911111,77.77,-72,-23,0,0,0,0
7764,BD+40 4103,5.84,O9V,20.30194444,40.73222222,1,-3,0,0,0,0
4865,CP-59 4483,6.75,A3II,12.83666667,-60.40083333,-7,-17,0,0,0,0
1288,CD-46 1314,6.59,F2V,4.14275,-45.86472222,75,21,0,0,0,0
6708,BD+36 2986,6,gG5,17.97841667,36.28777778,7,-55,0,0,0,0
7178,BD+71  915,4.82,K0IIIBa0.2,18.90663889,71.29722222,49,44,0,0,0,0
3074,BD+56 1253,6.72,A2IV,7.940777778,56.50444444,0,-24,0,0,0,0
3321,BD-12 2524,5.54,K2III,8.444972222,-12.53444444,-91,-18,0,0,0,0
5959,CD-4810512,4.65,G8III,16.05358333,-49.22972222,43,10,0,0,0,0
1695,BD+02  888,4.46,K0.5III,5.221527778,2.861111111,1,-6,0,0,0,0
1453,BD+19  742,6.36,G5II-III+A-F,4.595194444,19.88166667,-1,-17,0,0,0,0
63,BD+37   34,4.61,A2V,0.284861111,38.68166667,-50,-19,0,0,0,0
7074,BD+04 3884,6.21,K5,18.80075,4.241388889,-2,14,0,0,0,0
4186,BD+27 1927,5.51,A4Vn,10.71716667,26.32555556,-105,-63,0,0,0,0
7884,BD+31 4160,6.49,F0V,20.62572222,31.52194444,-45,-33,0,0,0,0
741,CD-35  877,5.9,K0III,2.551944444,-34.65,-15,-20,0,0,0,0
6890,CD-3412802,6.3,B5IV,18.43183333,-33.94527778,2,6,0,0,0,0
4924,BD+76  473,6.01,K0III,12.97980556,75.4725,8,10,0,0,0,0
3955,BD+53 1384,6.14,A5IV,10.08625,52.37083333,-4,-20,0,0,0,0
4885,CD-48 7753,4.33,K3-4III,12.88525,-48.94333333,-76,-30,0,0,0,0
1125,BD-20  687,6.59,A3V,3.689555556,-19.58472222,-2,-7,0,0,0,0
6683,BD-04 4376,5.47,gG9,17.94658333,-4.081944444,-12,-8,0,0,0,0
6090,BD+46 2169,3.89,B5IV,16.329,46.31333333,-11,40,0,0,0,0
3787,CD-35 5751,5.87,K4III,9.525805556,-35.715,143,-177,0,0,0,0
2342,CP-60  608,5.8,A0V,6.403805556,-60.28111111,-41,36,0,0,0,0
4098,BD+10 2152,6.04,A0pSiCr:,10.46083333,9.7625,7,2,0,0,0,0
8890,BD+11 4993,5.08,K3III,23.38461111,12.31388889,27,-17,0,0,0,0
8335,BD+37 4427,6.12,B8V,21.80816667,38.64861111,22,-2,0,0,0,0
801,BD+02  422,3.47,A3V,2.721666667,3.235833333,-142,-152,0,0,0,0
2518,BD-02 1776,5.74,B8IIIn,6.821222222,-2.271944444,-9,-4,0,0,0,0
1777,BD+17  920,4.99,F8V,5.407055556,17.38333333,246,-9,0,0,0,0
182,CD-39  175,6.06,A0V,0.711916667,-38.46333333,3,-5,0,0,0,0
512,BD+16  196,6.55,A9III,1.776472222,17.41305556,53,11,0,0,0,0
7710,BD+20 4462,6.22,K0,20.18430556,21.13472222,17,34,0,0,0,0
1577,BD+13  740,4.07,K2-IIIFe-1,4.939527778,13.51444444,-74,-47,0,0,0,0
3054,CD-44 3762,6.32,K0III,7.8245,-44.75194444,-48,3,0,0,0,0
2544,BD+38 1638,6.48,B9.5pSi,6.899166667,38.505,-10,-26,0,0,0,0
7208,BD+50 2708,5.38,B2.5IV,19.00380556,50.53361111,9,5,0,0,0,0
1839,BD+03  948,5.46,B1IV+B1.5V,5.520694444,3.292222222,1,3,0,0,0,0
2367,BD+11 1204,6.14,B2V:nne,6.519305556,11.25083333,-5,-16,0,0,0,0
8350,CD-3714536,3.01,B8III,21.89880556,-37.365,102,-21,0,0,0,0
944,BD+39  724,4.63,K1III,3.188166667,39.61166667,-23,5,0,0,0,0
7978,BD+17 4431,6.52,A1V s,20.84361111,18.05138889,76,16,0,0,0,0
664,CP-68  126,5.55,M1III,2.237416667,-67.84166667,37,37,0,0,0,0
4936,CD-51 7248,6.43,M1III,13.09188889,-52.115,-48,32,0,0,0,0
4648,CD-33 8257,6.33,A0V,12.22686111,-33.79277778,-6,-11,0,0,0,0
4990,CP-67 2224,4.8,B8V,13.25413889,-67.89444444,-41,-8,0,0,0,0
4061,BD+03 2352,6.66,B2.5IV,10.35055556,2.289722222,-7,-3,0,0,0,0
5550,BD+19 2881,6.01,K2V,14.88991667,19.15277778,-452,216,0,0,0,0
6509,BD+60 1754,5.65,A1Vn,17.42813889,60.04833333,-10,27,0,0,0,0
2318,BD-07 1422,6.4,A4V,6.433,-7.894166667,-4,19,0,0,0,0
8443,CD-2817622,6.44,A5V,22.16669444,-28.2925,32,26,0,0,0,0
706,BD+49  666,6.12,F4V,2.464388889,50.56972222,36,-93,0,0,0,0
3672,BD-14 2793,6.35,A0V,9.256916667,-15.02472222,-26,-14,0,0,0,0
4290,CD-41 6276,4.39,A3IV,11.00258333,-42.22583333,28,3,0,0,0,0
1863,BD+54  914,5.73,M0III,5.609777778,54.42888889,-13,-2,0,0,0,0
1540,BD+06  762,3.19,F6V,4.830666667,6.961388889,466,12,0,0,0,0
4369,CD-37 7146,6.27,A3Vn,11.28661111,-38.01444444,-88,10,0,0,0,0
106,BD-21   57,6.43,G0V,0.472527778,-20.335,-116,-114,0,0,0,0
7905,BD+80  660,5.96,K0III+F8V,20.49097222,81.09138889,64,222,0,0,0,0
1721,BD+01  957,6.42,A0V,5.278083333,1.947222222,-11,-9,0,0,0,0
4086,CP-66 1243,4.99,B8V,10.38280556,-66.90166667,-24,8,0,0,0,0
7759,BD+42 3670,6.29,K4II:,20.29141667,42.72194444,14,0,0,0,0,0
5920,CD-3112407,6.29,F6V,15.93719444,-31.78583333,36,1,0,0,0,0
1600,BD+60  856,4.03,G1Ib-IIa,5.056972222,60.44222222,-6,-16,0,0,0,0
889,BD-03  470,5.23,A2IV,2.978333333,-2.7825,-30,-56,0,0,0,0
1925,BD+25  902,5.18,B3IV,5.662277778,25.89694444,12,-24,0,0,0,0
4135,CP-71 1034,4.74,A1V,10.50558333,-71.99305556,25,-37,0,0,0,0
1562,BD+01  847,6.61,A1Vn,4.898833333,1.569444444,9,-3,0,0,0,0
49,BD+21   13,6.24,A1pSi,0.248916667,22.28416667,65,-11,0,0,0,0
8344,BD+60 2300,6.17,M1II-III,21.82194444,61.27277778,3,-24,0,0,0,0
7496,CP-72 2445,5.41,A4III,19.82369444,-72.50333333,0,17,0,0,0,0
2259,CD-39 2491,6,A2Vm:,6.276555556,-39.26444444,-13,-22,0,0,0,0
1433,CP-62  357,5.75,K0III,4.46275,-62.52083333,-19,14,0,0,0,0
4708,CD-2410314,5.68,gK1,12.38933333,-24.84055556,-19,-10,0,0,0,0
7050,BD+39 3509,6.02,F1V,18.73897222,39.67111111,3,59,0,0,0,0
5349,BD+15 2690,5.8,M3IIIa,14.29122222,15.26333333,12,11,0,0,0,0
5620,CP-63 3518,6.28,A0pSrCrEu,15.15708333,-63.64277778,-15,-18,0,0,0,0
7010,BD+65 1283,6.06,F0V,18.60369444,65.48861111,19,83,0,0,0,0
3227,CD-29 5738,6.52,A1V,8.212777778,-29.91083333,-24,31,0,0,0,0
583,BD+64  282,6,A1Vn,2.047972222,64.90138889,-2,-15,0,0,0,0
8792,BD+08 4997,4.52,M1IIIab,23.11675,9.409444444,11,-14,0,0,0,0
3293,CD-37 4638,6.32,M1III,8.388111111,-38.28583333,28,-3,0,0,0,0
5562,CD-2811055,6.29,B9V,14.95377778,-29.15777778,-27,-31,0,0,0,0
